TITLE,PRICE,LINK
Blue Sapphire (Neelam) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹949,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/794973/small/rashi-ratna-5-25-ratti-blue-sapphire-ring-rsjai20406-ms-20190404-108183-ywkvj3.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794973/small/rashi-ratna-5-25-ratti-blue-sapphire-ring-rsjai20406-ms-20190404-108183-ywkvj3.jpg"" id=""listing-prd-img1060621553"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Blue Sapphire (Neelam) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Blue Sapphire (Neelam) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹749,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/795011/small/rashi-ratna-3-25-ratti-blue-sapphire-ring-rsjai20405-ms-20190404-12510-197nlzp.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795011/small/rashi-ratna-3-25-ratti-blue-sapphire-ring-rsjai20405-ms-20190404-12510-197nlzp.jpg"" id=""listing-prd-img1060621545"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Blue Sapphire (Neelam) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
CZ Studded 9 to 5 Ring,₹199,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/746278/small/cz-studded-9-to-5-ring-dcjai21478-ms-20180912-4545-6jfjdt.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/746278/small/cz-studded-9-to-5-ring-dcjai21478-ms-20180912-4545-6jfjdt.jpg"" id=""listing-prd-img1060613797"" class=""width-100-percent product-card-image cursor-pointer"" alt=""CZ Studded 9 to 5 Ring""></picture>"
Aham Brahmasmi Moksh Inscription Ring,₹269,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004153/small/aham-brahmasmi-moksh-inscription-ring-vmjai43139-ms-20201205-19770-3fvpos.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004153/small/aham-brahmasmi-moksh-inscription-ring-vmjai43139-ms-20201205-19770-3fvpos.jpg"" id=""listing-prd-img1060647166"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Aham Brahmasmi Moksh Inscription Ring""></picture>"
Zircon Gemstone Adorned Band Ring,₹799,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004609/small/zircon-gemstone-adorned-band-ring-dcjai23126-ms-20201223-8075-1rqvjau.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004609/small/zircon-gemstone-adorned-band-ring-dcjai23126-ms-20201223-8075-1rqvjau.jpg"" id=""listing-prd-img1060645540"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Zircon Gemstone Adorned Band Ring""></picture>"
Cluster Setting Zircon Gems Ring,₹549,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004600/small/cluster-setting-zircon-gems-ring-dcjai23680-ms-20201223-8075-dmetsr.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004600/small/cluster-setting-zircon-gems-ring-dcjai23680-ms-20201223-8075-dmetsr.jpg"" id=""listing-prd-img1060645534"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Cluster Setting Zircon Gems Ring""></picture>"
Zircon Gemstones Adorned Designer Inspired Ring,₹699,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004493/small/zircon-gemstones-adorned-designer-inspired-ring-dcjai23665-ms-20201223-5520-1xukmf7.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004493/small/zircon-gemstones-adorned-designer-inspired-ring-dcjai23665-ms-20201223-5520-1xukmf7.jpg"" id=""listing-prd-img1060644778"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Zircon Gemstones Adorned Designer Inspired Ring""></picture>"
Oval Red Gemstones Adorned Ring,₹819,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004477/small/oval-red-gemstones-adorned-ring-dcjai23129-ms-20201223-5520-wprehw.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004477/small/oval-red-gemstones-adorned-ring-dcjai23129-ms-20201223-5520-wprehw.jpg"" id=""listing-prd-img1060644745"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Oval Red Gemstones Adorned Ring""></picture>"
Gold Tone CZ Gem Embellished Ring,₹409,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/963289/small/gold-tone-cz-gem-embellished-ring-dcjai23525-ms-20200125-4810-1xgqf6t.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963289/small/gold-tone-cz-gem-embellished-ring-dcjai23525-ms-20200125-4810-1xgqf6t.jpg"" id=""listing-prd-img1060642818"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Gold Tone CZ Gem Embellished Ring""></picture>"
Princess Cut CZ Gemstone Ring,₹819,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/963633/small/princess-cut-cz-gemstone-ring-dcjai23045-ms-20200125-4810-1hm4yc4.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963633/small/princess-cut-cz-gemstone-ring-dcjai23045-ms-20200125-4810-1hm4yc4.jpg"" id=""listing-prd-img1060642606"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Princess Cut CZ Gemstone Ring""></picture>"
Designer Inspired Brass Ring,₹599,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/963561/small/designer-inspired-brass-ring-1-dcjai23663-ms-20200125-4810-10yqdx2.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963561/small/designer-inspired-brass-ring-1-dcjai23663-ms-20200125-4810-10yqdx2.jpg"" id=""listing-prd-img1060641175"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Designer Inspired Brass Ring""></picture>"
Yellow Sapphire (Pukhraj) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹949,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/795064/small/rashi-ratna-5-25-ratti-yellow-sapphire-ring-rsjai20409-ms-20190404-12510-hb5ldm.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795064/small/rashi-ratna-5-25-ratti-yellow-sapphire-ring-rsjai20409-ms-20190404-12510-hb5ldm.jpg"" id=""listing-prd-img1060621556"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Yellow Sapphire (Pukhraj) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Blue Sapphire (Neelam) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,049","<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/821802/small/rashi-ratna-7-25-ratti-blue-sapphire-ring-rsjai20407-ms-20190605-16067-dqejau.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/821802/small/rashi-ratna-7-25-ratti-blue-sapphire-ring-rsjai20407-ms-20190605-16067-dqejau.jpg"" id=""listing-prd-img1060621555"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Blue Sapphire (Neelam) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Yellow Sapphire (Pukhraj) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,149","<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/794933/small/rashi-ratna-7-25-ratti-yellow-sapphire-ring-rsjai20410-ms-20190404-108183-1lihv9y.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794933/small/rashi-ratna-7-25-ratti-yellow-sapphire-ring-rsjai20410-ms-20190404-108183-1lihv9y.jpg"" id=""listing-prd-img1060621546"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Yellow Sapphire (Pukhraj) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Garnet (Gomed) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹749,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/794991/small/rashi-ratna-3-25-ratti-garnet-ring-rsjai20399-ms-20190404-12510-1iarm0k.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794991/small/rashi-ratna-3-25-ratti-garnet-ring-rsjai20399-ms-20190404-12510-1iarm0k.jpg"" id=""listing-prd-img1060621542"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Garnet (Gomed) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Pearl (Moti) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹649,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/794939/small/rashi-ratna-3-25-ratti-pearl-ring-rsjai20393-ms-20190404-12510-1440h1b.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794939/small/rashi-ratna-3-25-ratti-pearl-ring-rsjai20393-ms-20190404-12510-1440h1b.jpg"" id=""listing-prd-img1060621536"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Pearl (Moti) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Moksha Mythology Inspired Ring,₹219,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/821588/small/moksha-mythology-inspired-ring-vmjai40524-ms-20190605-8612-1gjyr5c.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/821588/small/moksha-mythology-inspired-ring-vmjai40524-ms-20190605-8612-1gjyr5c.jpg"" id=""listing-prd-img1060618038"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Moksha Mythology Inspired Ring""></picture>"
Love Knots Filigree Design Ring,₹319,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/996996/small/love-knots-filigree-design-ring-vmjai42826-ms-20200902-26443-jl7iop.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/996996/small/love-knots-filigree-design-ring-vmjai42826-ms-20200902-26443-jl7iop.jpg"" id=""listing-prd-img1060645558"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Love Knots Filigree Design Ring""></picture>"
Crossover Design Brass Ring,₹719,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/998586/small/crossover-design-brass-ring-dcjai23744-ms-20200918-16567-35a9ha.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/998586/small/crossover-design-brass-ring-dcjai23744-ms-20200918-16567-35a9ha.jpg"" id=""listing-prd-img1060644637"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Crossover Design Brass Ring""></picture>"
Emerald (Panna) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,049","<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/794943/small/rashi-ratna-5-25-ratti-emerald-ring-rsjai20412-ms-20190404-108183-1t7znod.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794943/small/rashi-ratna-5-25-ratti-emerald-ring-rsjai20412-ms-20190404-108183-1t7znod.jpg"" id=""listing-prd-img1060621548"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Emerald (Panna) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Emerald (Panna) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹849,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/795022/small/rashi-ratna-3-25-ratti-emerald-ring-rsjai20411-ms-20190404-12510-1nvu8hu.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795022/small/rashi-ratna-3-25-ratti-emerald-ring-rsjai20411-ms-20190404-12510-1nvu8hu.jpg"" id=""listing-prd-img1060621547"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Emerald (Panna) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Ruby (Manik) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹849,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/794981/small/rashi-ratna-5-25-ratti-ruby-ring-rsjai20397-ms-20190404-12510-1cvbifx.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794981/small/rashi-ratna-5-25-ratti-ruby-ring-rsjai20397-ms-20190404-12510-1cvbifx.jpg"" id=""listing-prd-img1060621540"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Ruby (Manik) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Trendy Gems Adorned Ring,₹339,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/812642/small/trendy-gems-adorned-ring-dcjai22689-ms-20190522-17570-12bkcf7.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/812642/small/trendy-gems-adorned-ring-dcjai22689-ms-20190522-17570-12bkcf7.jpg"" id=""listing-prd-img1060621303"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Trendy Gems Adorned Ring""></picture>"
Mandala Floral Finger Ring,₹219,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/866495/small/mandala-floral-finger-ring-vmjai40791-ms-20190723-23450-fjbiaf.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/866495/small/mandala-floral-finger-ring-vmjai40791-ms-20190723-23450-fjbiaf.jpg"" id=""listing-prd-img1060620539"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Mandala Floral Finger Ring""></picture>"
Mandala Tribal Inspired Ring,₹219,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/866447/small/mandala-tribal-inspired-ring-vmjai40790-ms-20190723-9163-1ajqudk.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/866447/small/mandala-tribal-inspired-ring-vmjai40790-ms-20190723-9163-1ajqudk.jpg"" id=""listing-prd-img1060620538"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Mandala Tribal Inspired Ring""></picture>"
Rava Ball Oxidized Statement Ring,₹579,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1011022/small/rava-ball-oxidized-statement-ring-vmjai43250-ms-20210409-17377-1at403f.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1011022/small/rava-ball-oxidized-statement-ring-vmjai43250-ms-20210409-17377-1at403f.jpg"" id=""listing-prd-img1060647724"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Rava Ball Oxidized Statement Ring""></picture>"
Aham Brahmasmi Shiva’s Third Eye Ring&nbsp;,₹499,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004120/small/aham-brahmasmi-shiva-s-third-eye-ring-vmjai43129-ms-20201205-19770-enfmqv.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004120/small/aham-brahmasmi-shiva-s-third-eye-ring-vmjai43129-ms-20201205-19770-enfmqv.jpg"" id=""listing-prd-img1060647165"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Aham Brahmasmi Shiva’s Third Eye Ring&nbsp;""></picture>"
Love Knots Adjustable Statement Ring,₹319,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/997122/small/love-knots-adjustable-statement-ring-vmjai42825-ms-20200902-24976-1olietu.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/997122/small/love-knots-adjustable-statement-ring-vmjai42825-ms-20200902-24976-1olietu.jpg"" id=""listing-prd-img1060645574"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Love Knots Adjustable Statement Ring""></picture>"
